Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
Almirante Tamandaré do Sul,2062,1935,Carazinho,Noroeste,60757.0,163168.7,29465.19,83079.79,0.491,0.601,0.74
Sete de Setembro,2126,1931,Cerro Largo,Noroeste,34429.0,67670.59,16194.11,34350.55,0.389,0.532,0.683
Protásio Alves,2000,1929,Guaporé,Nordeste,27191.0,60884.41,13595.67,31270.88,0.423,0.636,0.733
Pedras Altas,2218,1928,Jaguarão,Sudeste,39314.0,167556.49,17725.13,84539.1,0.372,0.482,0.64
Benjamin Constant do Sul,2307,1924,Erechim,Noroeste,16712.0,35303.16,7243.85,17704.69,0.312,0.45,0.619
São José do Herval,2204,1917,Soledade,Noroeste,26427.0,49652.06,11990.34,25191.31,0.407,0.555,0.717
Muliterno,1813,1901,Passo Fundo,Noroeste,27280.0,51695.95,15046.7,27309.01,0.404,0.598,0.689
Pinhal da Serra,2130,1896,Vacaria,Nordeste,319504.0,220385.09,150002.08,113542.03,0.278,0.512,0.65
Sério,2281,1889,Lajeado-Estrela,Centro Oriental,25258.0,48134.13,11073.19,24533.2,0.367,0.522,0.652
Ipiranga do Sul,1944,1871,Erechim,Noroeste,51188.0,106833.78,26331.15,56555.73,0.488,0.673,0.791
Quatro Irmãos,1778,1860,Erechim,Noroeste,47980.0,114378.49,26985.49,61859.65,0.33,0.504,0.689
Bom Progresso,2328,1858,Três Passos,Noroeste,32038.0,61745.88,13761.86,31795.0,0.407,0.566,0.723
Ivorá,2156,1854,Restinga Seca,Centro Ocidental,31950.0,52709.19,14819.0,27596.44,0.512,0.637,0.724
Vespasiano Corrêa,1974,1776,Lajeado-Estrela,Centro Oriental,34526.0,69771.07,17490.48,38441.36,0.43,0.639,0.723
Cruzaltense,2141,1765,Erechim,Noroeste,35045.0,88539.42,16368.3,48303.01,0.356,0.582,0.719
Nova Boa Vista,1960,1731,Carazinho,Noroeste,33781.0,100648.74,17235.44,56703.51,0.509,0.64,0.768
Linha Nova,1624,1724,Montenegro,Metropolitana,24368.0,54922.69,15004.92,32043.58,0.475,0.611,0.749
Santa Tereza,1717,1722,Caxias do Sul,Nordeste,23491.0,41505.74,13681.52,24005.63,0.461,0.611,0.746
Floriano Peixoto,2018,1709,Erechim,Noroeste,31201.0,61448.17,15461.27,34795.11,0.347,0.532,0.663
Novo Xingu,1757,1705,Frederico Westphalen,Noroeste,25962.0,58657.9,14776.13,34123.27,0.412,0.585,0.767
Canudos do Vale,1807,1693,Lajeado-Estrela,Centro Oriental,22345.0,49434.96,12365.97,28808.25,0.391,0.556,0.713
Nicolau Vergueiro,1721,1667,Passo Fundo,Noroeste,43769.0,88316.75,25432.56,52506.99,0.41,0.676,0.753
Santa Cecília do Sul,1655,1630,Passo Fundo,Noroeste,35138.0,83321.91,21231.17,50837.04,0.372,0.529,0.725
Capão Bonito do Sul,1753,1628,Vacaria,Nordeste,84105.0,191738.38,47977.98,115924.05,0.442,0.531,0.637
Barra do Rio Azul,2003,1621,Erechim,Noroeste,27049.0,53528.32,13504.1,31673.56,0.443,0.561,0.723
Gentil,1677,1619,Passo Fundo,Noroeste,49233.0,111711.1,29357.76,68366.64,0.41,0.628,0.733
Mato Queimado,1799,1611,Cerro Largo,Noroeste,27643.0,55296.78,15365.85,33553.87,0.461,0.617,0.717
Lagoa dos Três Cantos,1598,1604,Não-Me-Toque,Noroeste,40528.0,91358.7,25361.39,56779.8,0.566,0.664,0.789
Coronel Pilar,1725,1602,Caxias do Sul,Nordeste,24512.0,42369.88,14210.02,26025.73,0.519,0.602,0.727
Alto Alegre,1848,1590,Cruz Alta,Noroeste,29527.0,61914.47,15977.96,37798.82,0.567,0.662,0.747
Pouso Novo,1875,1586,Lajeado-Estrela,Centro Oriental,28794.0,47429.2,15356.72,28937.89,0.497,0.625,0.715
Vista Alegre do Prata,1569,1553,Guaporé,Nordeste,34646.0,56295.73,22081.68,36063.89,0.437,0.689,0.78
Ponte Preta,1750,1501,Erechim,Noroeste,26064.0,59528.08,14893.8,38479.69,0.336,0.56,0.725
Coqueiro Baixo,1528,1490,Lajeado-Estrela,Centro Oriental,21570.0,39763.61,14116.2,26491.41,0.385,0.582,0.692
Guabiju,1598,1478,Guaporé,Nordeste,31262.0,72220.62,19563.42,48050.98,0.489,0.674,0.758
Tupanci do Sul,1574,1447,Sananduva,Noroeste,25546.0,58305.42,16229.73,39609.66,0.401,0.57,0.694
Montauri,1542,1430,Guaporé,Nordeste,33903.0,59452.08,21986.41,40916.78,0.484,0.608,0.764
André da Rocha,1216,1351,Guaporé,Nordeste,35657.0,106411.87,29323.36,79828.86,0.504,0.591,0.72
Carlos Gomes,1607,1327,Erechim,Noroeste,19432.0,43952.84,12092.12,31919.27,0.423,0.596,0.739
Porto Vera Cruz,1852,1258,Santa Rosa,Noroeste,18369.0,34473.15,9918.21,25347.9,0.406,0.544,0.69
União da Serra,1487,1084,Guaporé,Nordeste,30784.0,53079.97,20702.29,45996.51,0.401,0.664,0.733
Engenho Velho,1530,932,Frederico Westphalen,Noroeste,28613.0,54558.7,18701.43,52764.7,0.353,0.533,0.717
