Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes,PIB_2010,PIB_2019,PIB_per_capita_2010,PIB_per_capita_2019,IDH_1991,IDH_2000,IDH_2010
Butiá,20555,20963,São Jerônimo,Metropolitana,260633.0,473596.75,12773.0,22615.77,0.455,0.579,0.689
Piratini,19831,20743,Serras de Sudeste,Sudeste,182158.0,482343.06,9185.51,23343.32,0.408,0.55,0.658
Ibirubá,19312,20474,Cruz Alta,Noroeste,505811.0,1128536.56,26191.53,55456.34,0.511,0.674,0.765
Horizontina,18350,19446,Três Passos,Noroeste,892861.0,1741205.49,48657.28,90082.54,0.568,0.725,0.783
Júlio de Castilhos,19579,19159,Santiago,Centro Ocidental,409433.0,1231774.87,20911.86,63845.69,0.542,0.626,0.716
Arroio Grande,18469,18185,Jaguarão,Sudeste,298335.0,542527.75,16153.27,29657.67,0.484,0.588,0.657
São Francisco de Assis,19258,18081,Campanha Ocidental,Sudoeste,188821.0,469988.45,9804.83,25633.4,0.445,0.558,0.675
Serafina Corrêa,14243,18074,Guaporé,Nordeste,364123.0,669491.13,25565.06,38252.26,0.561,0.678,0.76
Não-Me-Toque,15938,17886,Não-Me-Toque,Noroeste,618498.0,1366462.14,38806.52,77534.17,0.572,0.692,0.765
Tapes,16649,17363,Camaquã,Metropolitana,206604.0,369424.07,12409.4,21353.99,0.498,0.619,0.695
Xangri-lá,12405,17126,Osório,Metropolitana,207981.0,554245.8,16765.92,33779.0,0.502,0.642,0.735
Cidreira,12654,16897,Osório,Metropolitana,134801.0,308044.56,10652.87,18951.92,0.466,0.64,0.729
Sananduva,15373,16382,Sananduva,Noroeste,278521.0,640589.49,18117.58,39372.43,0.513,0.66,0.747
Agudo,16729,16344,Restinga Seca,Centro Ocidental,245071.0,536911.8,14649.46,32617.2,0.449,0.593,0.694
Getúlio Vargas,16156,16158,Erechim,Noroeste,291020.0,637794.07,18013.12,39340.86,0.532,0.665,0.746
São Pedro do Sul,16371,16100,Santa Maria,Centro Ocidental,182866.0,393973.14,11170.14,24322.33,0.476,0.614,0.709
Giruá,17085,15729,Santo Ângelo,Noroeste,377335.0,806585.21,22085.78,50398.98,0.479,0.626,0.721
Restinga Seca,15850,15702,Restinga Seca,Centro Ocidental,,,,,,,
Espumoso,15240,15594,Cruz Alta,Noroeste,292440.0,718625.0,19188.99,46101.17,0.519,0.653,0.765
Dom Feliciano,14380,15556,Camaquã,Metropolitana,142957.0,292675.31,9941.36,18987.63,0.318,0.47,0.587
Sobradinho,14285,15041,Santa Cruz do Sul,Centro Oriental,218756.0,383785.28,15313.68,25642.1,0.538,0.65,0.743
Balneário Pinhal,10855,14645,Osório,Metropolitana,101172.0,241010.94,9320.28,17131.86,0.44,0.618,0.696
Bom Princípio,11792,14446,Montenegro,Metropolitana,255594.0,713326.35,21675.19,50752.5,0.52,0.67,0.746
Cerro Largo,13289,14243,Cerro Largo,Noroeste,382028.0,774031.22,28747.67,54767.65,0.541,0.664,0.764
Arroio dos Ratos,13608,14201,São Jerônimo,Metropolitana,111366.0,268587.25,8183.88,18980.09,0.468,0.61,0.698
Santo Cristo,14378,14177,Santa Rosa,Noroeste,274500.0,598101.31,19091.7,41951.41,0.503,0.642,0.738
Santo Augusto,13970,13813,Ijuí,Noroeste,244638.0,557340.05,17511.7,40139.72,0.48,0.627,0.739
Feliz,12359,13728,Montenegro,Metropolitana,230756.0,464540.28,18671.1,34291.01,0.563,0.659,0.75
Barra do Ribeiro,12568,13618,Camaquã,Metropolitana,167618.0,333627.87,13336.85,24729.66,0.479,0.619,0.67
Arroio do Tigre,12648,13452,Santa Cruz do Sul,Centro Oriental,187777.0,331075.68,14846.36,24757.02,0.433,0.568,0.707
Tenente Portela,13716,13385,Três Passos,Noroeste,163289.0,482822.31,11904.99,35804.4,0.48,0.607,0.708
Crissiumal,14085,13269,Três Passos,Noroeste,191328.0,377104.78,13583.8,28041.7,0.469,0.589,0.712
Antônio Prado,12837,13041,Caxias do Sul,Nordeste,250585.0,658585.69,19520.51,50466.34,0.543,0.683,0.758
Mostardas,12130,12888,Osório,Metropolitana,200168.0,407506.4,16501.89,31826.49,0.439,0.571,0.664
Cerro Grande do Sul,10280,12579,Camaquã,Metropolitana,88898.0,183456.63,8647.67,14989.51,0.371,0.513,0.66
Salto do Jacuí,11880,12512,Cruz Alta,Noroeste,438446.0,887671.76,36906.2,71304.66,0.459,0.589,0.687
Cruzeiro do Sul,12331,12457,Lajeado-Estrela,Centro Oriental,157715.0,394504.86,12790.15,31948.89,0.506,0.637,0.723
Bom Retiro do Sul,11472,12448,Lajeado-Estrela,Centro Oriental,154180.0,316612.45,13439.7,25682.39,0.501,0.639,0.739
Cacequi,13685,12291,Santa Maria,Centro Ocidental,157588.0,338948.22,11515.36,26984.17,0.491,0.58,0.7
Capela de Santana,11613,12183,Montenegro,Metropolitana,102902.0,227408.94,8860.97,19045.97,0.416,0.534,0.661
Pinheiro Machado,12787,12122,Serras de Sudeste,Sudeste,160692.0,305698.56,12566.8,24912.28,0.425,0.584,0.661
Vale do Sol,11077,11873,Santa Cruz do Sul,Centro Oriental,210211.0,239452.01,18977.22,20325.27,0.335,0.496,0.624
Redentora,10222,11782,Três Passos,Noroeste,68468.0,177793.76,6698.09,15394.73,0.35,0.464,0.631
Nonoai,12076,11574,Frederico Westphalen,Noroeste,185121.0,399575.13,15329.65,34166.32,0.442,0.584,0.702
Roca Sales,10228,11556,Lajeado-Estrela,Centro Oriental,203690.0,481199.36,19800.69,42236.4,0.51,0.627,0.729
Palmares do Sul,10971,11318,Osório,Metropolitana,178193.0,471590.81,16242.18,41667.33,0.498,0.609,0.715
Terra de Areia,9878,11323,Osório,Metropolitana,88774.0,242557.13,8987.05,21649.16,0.487,0.611,0.689
Bom Jesus,11556,11270,Vacaria,Nordeste,172919.0,445615.73,14963.59,39264.76,0.42,0.541,0.666
Três Cachoeiras,10239,11174,Osório,Metropolitana,115972.0,270754.87,11326.46,24496.05,0.509,0.638,0.718
Barros Cassal,11133,11167,Soledade,Noroeste,104410.0,202944.9,9378.46,18121.7,0.361,0.511,0.65
Jaguari,11478,10684,Santa Maria,Centro Ocidental,137335.0,265130.08,11965.08,24440.46,0.506,0.601,0.712
Seberi,10902,10678,Frederico Westphalen,Noroeste,152152.0,383296.67,13956.29,35655.5,0.406,0.597,0.723
Ronda Alta,10228,10633,Passo Fundo,Noroeste,155991.0,352132.05,15251.35,33216.87,0.457,0.619,0.724
Tapera,10452,10569,Não-Me-Toque,Noroeste,257340.0,481617.07,24621.14,45504.26,0.553,0.66,0.747
Arroio do Sal,7744,10483,Osório,Metropolitana,104248.0,245580.75,13461.76,24399.48,0.48,0.664,0.74
Arvorezinha,10229,10422,Guaporé,Nordeste,114539.0,257481.21,11197.44,24700.81,0.458,0.593,0.694
Fontoura Xavier,10712,10181,Soledade,Noroeste,100063.0,222479.18,9341.23,21591.54,0.331,0.504,0.661
