Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes
 Relvado,2 155,2 068,Lajeado-Estrela,Centro Oriental
São José do Inhacorá,2 200,2 040,Santa Rosa,Noroeste
 Itapuca,2 337,2 037,Guaporé,Nordeste
Gramado dos Loureiros,2 269,2 036,Frederico Westphalen,Noroeste
 São Pedro das Missões,1 886,2 025,Carazinho,Noroeste
 Santo Antônio do Planalto,1 987,2 018,Carazinho,Noroeste
Dois Irmãos das Missões,2 157,1 992,Frederico Westphalen,Noroeste
Mariano Moro,2 210,1 987,Erechim,Noroeste
 Doutor Ricardo,2 030,1 967,Lajeado Estrela,Centro Oriental
 Ubiretama,2 296,1 952,Santo Ângelo,Noroeste
 Almirante Tamandaré do Sul,2 062,1 935,Carazinho,Noroeste
 Sete de Setembro,2 126,1 931,Cerro Largo,Noroeste
 Protásio Alves,2 000,1 929,Guaporé,Nordeste
 Pedras Altas,2 218,1 928,Jaguarão,Sudeste
Benjamin Constant do Sul,2 307,1 924,Erechim,Noroeste
São José do Herval,2 204,1 917,Soledade,Noroeste
 Muliterno,1 813,1 901,Passo Fundo,Noroeste
 Pinhal da Serra,2 130,1 896,Vacaria,Nordeste
Sério,2 281,1 889,Lajeado-Estrela,Centro Oriental
 Ipiranga do Sul,1 944,1 871,Erechim,Noroeste
 Quatro Irmãos,1 778,1 860,Erechim,Noroeste
 Bom Progresso,2 328,1 858,Três Passos,Noroeste
 Ivorá,2 156,1 854,Restinga Seca,Centro Ocidental
Vespasiano Corrêa,1 974,1 776,Lajeado-Estrela,Centro Oriental
 Cruzaltense,2 141,1 765,Erechim,Noroeste
Nova Boa Vista,1 960,1 731,Carazinho,Noroeste
 Linha Nova,1 624,1 724,Montenegro,Metropolitana
 Santa Tereza,1 717,1 722,Caxias do Sul,Nordeste
Floriano Peixoto,2 018,1 709,Erechim,Noroeste
 Novo Xingu,1 757,1 705,Frederico Westphalen,Noroeste
 Canudos do Vale,1 807,1 693,Lajeado-Estrela,Centro Oriental
 Nicolau Vergueiro,1 721,1 667,Passo Fundo,Noroeste
Santa Cecília do Sul,1 655,1 630,Passo Fundo,Noroeste
Capão Bonito do Sul,1 753,1 628,Vacaria,Nordeste
Barra do Rio Azul,2 003,1 621,Erechim,Noroeste
 Gentil,1 677,1 619,Passo Fundo,Noroeste
Mato Queimado,1 799,1 611,Cerro Largo,Noroeste
 Lagoa dos Três Cantos,1 598,1 604,Não-Me-Toque,Noroeste
 Coronel Pilar,1 725,1 602,Caxias do Sul,Nordeste
 Alto Alegre,1 848,1 590,Cruz Alta,Noroeste
Pouso Novo,1 875,1 586,Lajeado-Estrela,Centro Oriental
Vista Alegre do Prata,1 569,1 553,Guaporé,Nordeste
 Ponte Preta,1 750,1 501,Erechim,Noroeste
Coqueiro Baixo,1 528,1 490,Lajeado-Estrela,Centro Oriental
Guabiju,1 598,1 478,Guaporé,Nordeste
 Tupanci do Sul,1 574,1 447,Sananduva,Noroeste
 Montauri,1 542,1 430,Guaporé,Nordeste
 André da Rocha,1 216,1 351,Guaporé,Nordeste
 Carlos Gomes,1 607,1 327,Erechim,Noroeste
 Porto Vera Cruz,1 852,1 258,Santa Rosa,Noroeste
 União da Serra,1 487,1 084,Guaporé,Nordeste
 Engenho Velho,1 530,932,Frederico Westphalen,Noroeste
