Cidade,Populacao_2010,Populacao_2021,Microrregioes,Mesorregioes
 Maçambará,4 742,4 539,Campanha Ocidental,Sudoeste
Vicente Dutra,5 285,4 530,Frederico Westphalen,Noroeste
Porto Lucena,5 421,4 514,Santa Rosa,Noroeste
Ibarama,4 371,4 393,Santa Cruz do Sul,Centro Oriental
 Doutor Maurício Cardoso,5 313,4 380,Três Passos,Noroeste
 Gramado Xavier,3 970,4 378,Santa Cruz do Sul,Centro Oriental
 Vila Maria,4 221,4 368,Passo Fundo,Noroeste
 Pinhal Grande,4 471,4 309,Santiago,Centro Ocidental
 Vila Nova do Sul,4 221,4 274,Santa Maria,Centro Ocidental
 Campo Novo,5 459,4 273,Três Passos,Noroeste
 Maximiliano de Almeida,4 907,4 254,Sananduva,Noroeste
 Fortaleza dos Valos,4 577,4 252,Cruz Alta,Noroeste
 Novo Cabrais,3 855,4 246,Cachoeira do Sul,Centro Oriental
Marcelino Ramos,5 134,4 239,Erechim,Noroeste
 Barra do Quaraí,4 016,4 238,Campanha Ocidental,Sudoeste
 Três Palmeiras,4 381,4 232,Frederico Westphalen,Noroeste
Novo Barreiro,3 978,4 185,Carazinho,Noroeste
 Ilópolis,4 098,4 054,Guaporé,Nordeste
Ibirapuitã,4 061,3 988,Soledade,Noroeste
 Marques de Souza,4 068,3 981,Lajeado-Estrela,Centro Oriental
Pontão,3 857,3 898,Passo Fundo,Noroeste
 Mariana Pimentel,3 768,3 892,Porto Alegre,Metropolitana
Pareci Novo,3 511,3 885,Montenegro,Metropolitana
 São Pedro da Serra,3 317,3 881,Montenegro,Metropolitana
 Putinga,4 147,3 861,Guaporé,Nordeste
 Pejuçara,3 973,3 840,Ijuí,Noroeste
 Cotiporã,3 917,3 824,Caxias do Sul,Nordeste
 Quinze de Novembro,3 653,3 810,Cruz Alta,Noroeste
 Capão do Cipó,3 107,3 745,Santiago,Centro Ocidental
Nova Roma do Sul,3 347,3 743,Caxias do Sul,Nordeste
 Água Santa,3 726,3 738,Passo Fundo,Noroeste
 Jaboticaba,4 111,3 738,Carazinho,Noroeste
 Paim Filho,4 243,3 731,Sananduva,Noroeste
Nova Alvorada,3 177,3 698,Guaporé,Nordeste
 Chiapetta,4 044,3 684,Ijuí,Noroeste
Estrela Velha,3 628,3 646,Santa Cruz do Sul,Centro Oriental
Jaquirana,4 177,3 611,Vacaria,Nordeste
 Severiano de Almeida,3 842,3 607,Erechim,Noroeste
 São José dos Ausentes,3 290,3 559,Vacaria,Nordeste
 Arambaré,3 693,3 544,Camaquã,Metropolitana
Jacutinga,3 630,3 532,Erechim,Noroeste
 Vale Verde,3 253,3 531,São Jerônimo,Metropolitana
 Áurea,3 665,3 517,Erechim,Noroeste
Jari,3 575,3 472,Santiago,Centro Ocidental
Itacurubi,3 441,3 456,Santiago,Centro Ocidental
 Dois Lajeados,3 280,3 410,Guaporé,Nordeste
 Turuçu,3 522,3 408,Pelotas,Sudeste
 Vila Flores,3 207,3 407,Caxias do Sul,Nordeste
 Campestre da Serra,3 247,3 402,Vacaria,Nordeste
 Nova Bréscia,3 184,3 345,Lajeado-Estrela,Centro Oriental
Esmeralda,3 169,3 291,Vacaria,Nordeste
 Alegria,4 301,3 287,Ijuí,Noroeste
 Campos Borges,3 494,3 272,Cruz Alta,Noroeste
Braga,3 702,3 271,Três Passos,Noroeste
 Barra do Guarita,3 089,3 266,Três Passos,Noroeste
 Monte Alegre dos Campos,3 098,3 237,Vacaria,Nordeste
 Caseiros,3 007,3 228,Passo Fundo,Noroeste
Charrua,3 471,3 228,Passo Fundo,Noroeste
 São Martinho da Serra,3 201,3 228,Santa Maria,Centro Ocidental
São Valentim,3 632,3 220,Erechim,Noroeste
Novo Machado,3 927,3 191,Santa Rosa,Noroeste
 Muitos Capões,2 977,3 184,Vacaria,Nordeste
 Ernestina,3 088,3 171,Passo Fundo,Noroeste
Itatiba do Sul,4 171,3 143,Erechim,Noroeste
 Mormaço,2 749,3 139,Soledade,Noroeste
Imigrante,3 025,3 103,Lajeado-Estrela,Centro Oriental
 São Domingos do Sul,2 926,3 091,Passo Fundo,Noroeste
 Colorado,3 550,3 088,Não-Me-Toque,Noroeste
 Taquaruçu do Sul,2 970,3 081,Frederico Westphalen,Noroeste
 Tio Hugo,2 724,3 078,Não-Me-Toque,Noroeste
 Pinto Bandeira,[3],3 068,Caxias do Sul,Nordeste
Vitória das Missões,3 485,3 052,Santo Ângelo,Noroeste
 Westfália,2 793,3 046,Lajeado-Estrela,Centro Oriental
 Alto Feliz,2 908,3 043,Montenegro,Metropolitana
 Herveiras,2 954,3 019,Santa Cruz do Sul,Centro Oriental
 Dilermando de Aguiar,3 064,2 991,Santa Maria,Centro Ocidental
 Erebango,2 970,2 978,Erechim,Noroeste
 Presidente Lucena,2 485,2 972,Gramado-Canela,Metropolitana
 Arroio do Padre,2 730,2 966,Pelotas,Sudeste
 Mampituba,2 997,2 965,Osório,Metropolitana
 Dona Francisca,3 401,2 958,Restinga Seca,Centro Ocidental
 São Pedro do Butiá,2 873,2 950,Cerro Largo,Noroeste
 Lagoa Bonita do Sul,2 662,2 939,Santa Cruz do Sul,Centro Oriental
 Morrinhos do Sul,3 185,2 891,Osório,Metropolitana
Sede Nova,3 011,2 875,Três Passos,Noroeste
 Centenário,2 967,2 865,Erechim,Noroeste
 Vista Gaúcha,2 759,2 858,Três Passos,Noroeste
Garruchos,3 233,2 851,Campanha Ocidental,Sudoeste
 Esperança do Sul,3 272,2 846,Três Passos,Noroeste
