"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Unidade","Multiplicador"
"1.1","Série revisada","Barra do Guarita",,,,,,,,,,,,"22755","25097","26650","34461","37694.64","38175.81","41450.10","41084.70","42046.29","46500.42","R$",1000
"1.1","Série revisada","Carlos Gomes",,,,,,,,,,,,"19432","21533","21348","29531","30385.06","30545.58","36657.43","33523.69","38922.92","43952.84","R$",1000
"1.1","Série revisada","Caxias do Sul",,,,,,,,,,,,"16471201","18800366","20150488","21396940","22421399.77","20633381.62","20069797.09","21811857.20","24770074.68","27013569.55","R$",1000
"1.1","Série revisada","Carazinho",,,,,,,,,,,,"1157959","1397676","1472637","1830412","2163639.38","2494788.07","2723341.41","2668792.93","2988149.87","3150493.96","R$",1000
"1.1","Série revisada","Casca",,,,,,,,,,,,"214235","241042","259387","314267","344286.60","370937.28","408519.86","415055.01","438485.87","477705.98","R$",1000
"1.1","Série revisada","Almirante Tamandaré do Sul",,,,,,,,,,,,"60757","73197","57605","105156","104373.14","121316.26","139384.65","130336.51","164556.54","163168.70","R$",1000
"1.1","Série revisada","Caraá",,,,,,,,,,,,"47902","52389","59017","78236","85127.89","89689.59","99147.15","100467.95","110247.95","119670.04","R$",1000
"1.1","Série revisada","Caseiros",,,,,,,,,,,,"53011","50638","55054","84808","91819.20","103830.20","115304.03","121343.25","135692.69","128011.62","R$",1000
"1.1","Série revisada","Amaral Ferrador",,,,,,,,,,,,"50626","64262","62116","82321","74831.13","86311.10","111408.29","101294.87","98247.78","120980.27","R$",1000
"1.1","Série revisada","Alpestre",,,,,,,,,,,,"83489","87559","82608","110526","121539.92","535450.87","448173.91","530638.04","490938.12","536480.91","R$",1000
"1.1","Série revisada","Ajuricaba",,,,,,,,,,,,"132823","189343","161636","203096","198579.65","238219.03","263419.20","259932.28","298890.41","301939.11","R$",1000
"1.1","Série revisada","Barra do Ribeiro",,,,,,,,,,,,"167618","171362","199916","220109","261259.70","295386.64","316522.67","319092.39","319913.01","333627.87","R$",1000
"1.1","Série revisada","Candelária",,,,,,,,,,,,"383562","418059","451667","566127","599563.26","667031.76","670956.71","806121.15","833331.69","849669.53","R$",1000
"1.1","Série revisada","Canguçu",,,,,,,,,,,,"478822","522175","571339","782775","892412.53","946229.04","1080936.20","1145771.25","1113950.34","1297954.90","R$",1000
"1.1","Série revisada","Alecrim",,,,,,,,,,,,"58429","64736","67568","85232","88732.15","93963.00","102413.67","106532.22","110383.64","118024.79","R$",1000
